CustomerID,Name,Age,Gender,Location,OrderID,Product,Category,Quantity,Price,TotalAmount,OrderDate,PaymentMethod,ReviewScore
C0001,Luke Garza,30,Female,Leeport,O00001,Backpack,Accessories,4,69.14,276.56,2025-10-19,Credit Card,5
C0002,Stephanie Petersen,34,Female,West Julian,O00002,Book,Books,4,395.67,1582.68,2025-07-28,Credit Card,2
C0003,Raymond Ramsey,34,Female,Pamelaborough,O00003,Jeans,Clothing,1,2247.79,2247.79,2025-01-08,UPI,1
C0004,Jacob Carroll,64,Female,Stephenport,O00004,T-Shirt,Clothing,3,3554.22,10662.66,2025-06-28,Credit Card,1
C0005,Jessica Jones,38,Female,South Michael,O00005,Sneakers,Footwear,2,2131.91,4263.82,2025-05-16,PayPal,3
C0006,Diane Harris,60,Female,Port Chrischester,O00006,Coffee Maker,Home Appliances,3,3906.51,11719.53,2024-09-15,Debit Card,2
C0007,Elizabeth Butler,31,Female,North Nicolefurt,O00007,Sneakers,Footwear,3,697.23,2091.69,2025-04-04,Debit Card,1
C0008,Thomas Evans,36,Male,Fordfurt,O00008,Book,Books,4,2327.92,9311.68,2025-12-23,Debit Card,3
C0009,Melissa Davis,62,Female,Tinaborough,O00009,Backpack,Accessories,4,1779.23,7116.92,2025-02-10,Credit Card,2
C0010,Timothy Nelson,58,Female,South Leslieville,O00010,Smartphone,Electronics,3,2315.55,6946.65,2024-11-15,Credit Card,1
C0011,Tony Lewis,33,Male,Maryton,O00011,Book,Books,1,2578.69,2578.69,2026-01-17,UPI,3
C0012,Lisa Martinez,29,Female,Lake Brian,O00012,T-Shirt,Clothing,5,222.31,1111.55,2025-12-14,Debit Card,3
C0013,Michael Summers,21,Female,South Katherinetown,O00013,Smartphone,Electronics,3,600.65,1801.95,2025-02-09,UPI,1
C0014,James Terrell,30,Female,North Kenneth,O00014,Headphones,Electronics,5,4485.46,22427.3,2025-02-05,UPI,5
C0015,Jennifer Olson,38,Female,Port Kevinport,O00015,Jeans,Clothing,2,3344.9,6689.8,2024-11-07,Credit Card,1
C0016,Jose Hubbard,23,Male,North Darrell,O00016,Backpack,Accessories,4,4255.32,17021.28,2024-08-26,UPI,5
C0017,Vincent Contreras II,42,Female,Lake Sherrihaven,O00017,Backpack,Accessories,4,4755.56,19022.24,2025-04-27,Credit Card,1
C0018,Amanda Newman,52,Female,New Brianna,O00018,Backpack,Accessories,5,707.83,3539.15,2024-06-23,Debit Card,3
C0019,Elizabeth Harris,53,Female,Lake James,O00019,Laptop,Electronics,3,1449.92,4349.76,2025-01-26,Credit Card,4
C0020,Nathan Small,18,Female,Harrisonhaven,O00020,Headphones,Electronics,1,2464.69,2464.69,2026-03-16,Debit Card,2
C0021,Stephen Barnes DDS,64,Male,Bowenport,O00021,T-Shirt,Clothing,5,3452.53,17262.65,2026-02-06,Debit Card,1
C0022,Veronica Dickson,43,Male,Yorkshire,O00022,Watch,Accessories,5,4839.54,24197.7,2024-06-03,PayPal,4
C0023,Dr. Omar Bell,33,Female,Jonesstad,O00023,Jeans,Clothing,2,3072.57,6145.14,2025-12-22,Credit Card,4
C0024,Daniel Rowland,19,Male,Port Patricia,O00024,Coffee Maker,Home Appliances,3,4587.32,13761.96,2024-03-29,Debit Card,2
C0025,Anna Lewis,39,Female,Port Stephanieland,O00025,Jeans,Clothing,2,1807.83,3615.66,2024-10-28,UPI,2
C0026,Ronald Burton,43,Female,Lake Arthur,O00026,Jeans,Clothing,4,439.3,1757.2,2025-02-09,Debit Card,3
C0027,Michael Carrillo,28,Female,East Lisaview,O00027,Laptop,Electronics,2,4438.3,8876.6,2024-07-30,UPI,3
C0028,Michael Gilbert,19,Male,Kathleenville,O00028,Backpack,Accessories,2,2717.48,5434.96,2025-04-23,PayPal,1
C0029,Andrea Brown,29,Female,New John,O00029,Coffee Maker,Home Appliances,3,4724.48,14173.44,2024-08-23,Credit Card,3
C0030,Andrea Campbell,62,Female,North Dawn,O00030,Backpack,Accessories,4,1937.43,7749.72,2024-08-16,Debit Card,3
C0031,Terry Thompson,30,Male,Johnton,O00031,T-Shirt,Clothing,1,3930.02,3930.02,2024-09-24,Credit Card,5
C0032,John Glenn,39,Male,East Mary,O00032,Smartphone,Electronics,5,1722.97,8614.85,2024-06-12,PayPal,2
C0033,James Villegas,20,Female,Patriciahaven,O00033,Jeans,Clothing,1,1497.91,1497.91,2025-06-27,Credit Card,1
C0034,Alexander Griffith,56,Female,Kimmouth,O00034,Sneakers,Footwear,3,1145.76,3437.28,2024-11-20,UPI,2
C0035,Ashley Medina,55,Female,Wyattchester,O00035,Smartphone,Electronics,3,4037.06,12111.18,2024-11-26,Credit Card,2
C0036,Joseph West,28,Male,New Erinhaven,O00036,Jeans,Clothing,1,2939.7,2939.7,2025-06-27,Debit Card,4
C0037,Joseph Washington,28,Male,East Matthew,O00037,T-Shirt,Clothing,3,4590.07,13770.21,2025-05-22,PayPal,3
C0038,Robert Lee,22,Male,Michelleshire,O00038,Backpack,Accessories,2,946.42,1892.84,2025-11-21,UPI,1
C0039,Jorge Richardson,54,Male,Hallburgh,O00039,Watch,Accessories,2,233.14,466.28,2024-06-11,Debit Card,4
C0040,Samantha Jones,23,Female,Port Jason,O00040,Book,Books,4,4461.21,17844.84,2025-04-24,PayPal,2
C0041,Michael Hurley,29,Male,Port Steventown,O00041,Backpack,Accessories,1,823.67,823.67,2024-09-23,Credit Card,1
C0042,Shawna Lindsey,32,Male,West Jeffreyland,O00042,Book,Books,1,4837.06,4837.06,2024-06-01,UPI,5
C0043,Heidi Campbell,60,Male,Millsberg,O00043,Sneakers,Footwear,4,898.12,3592.48,2024-08-11,PayPal,5
C0044,Jeremy Schneider,49,Female,South Erin,O00044,Smartphone,Electronics,2,1205.73,2411.46,2026-01-13,Credit Card,4
C0045,Diana Mcclure,57,Male,South Mariaside,O00045,Jeans,Clothing,2,3810.4,7620.8,2024-05-16,UPI,4
C0046,Mike King,21,Male,Williamsstad,O00046,Headphones,Electronics,1,857.6,857.6,2025-01-12,Credit Card,1
C0047,Brian Gilmore,38,Female,Rileyhaven,O00047,Jeans,Clothing,5,2204.5,11022.5,2024-12-31,PayPal,2
C0048,Joshua Harrison,40,Female,Masonmouth,O00048,Sneakers,Footwear,3,1804.32,5412.96,2025-01-30,Debit Card,1
C0049,Jennifer Guzman,31,Female,South Anthonyport,O00049,Backpack,Accessories,3,4108.84,12326.52,2025-06-22,UPI,2
C0050,Timothy Willis,34,Male,West Annechester,O00050,Jeans,Clothing,1,3944.17,3944.17,2025-04-30,Debit Card,5
C0051,David Moody,51,Female,Jessicaside,O00051,T-Shirt,Clothing,1,3409.62,3409.62,2025-10-09,Debit Card,1
C0052,Nicholas Norton,21,Female,Port Garrett,O00052,Laptop,Electronics,1,1023.09,1023.09,2024-07-28,UPI,4
C0053,Scott Clark,24,Male,Robertsonshire,O00053,Backpack,Accessories,1,795.24,795.24,2025-01-02,Credit Card,4
C0054,Juan Owens,37,Male,North Allen,O00054,Sneakers,Footwear,4,1051.14,4204.56,2024-11-12,Debit Card,1
C0055,Timothy Chavez DDS,19,Female,East Jean,O00055,Book,Books,2,863.0,1726.0,2025-11-10,PayPal,1
C0056,Gloria Johnson,24,Female,South Kayla,O00056,Sneakers,Footwear,5,686.59,3432.95,2025-10-20,Debit Card,3
C0057,Zachary Pacheco,57,Female,Port Daniel,O00057,T-Shirt,Clothing,3,1697.76,5093.28,2024-09-23,Debit Card,1
